who_owns_what_export
housenumber,streetname,zip,boro,registrationid,lastregistrationdate,registrationenddate,bbl,bin,hpdbuildingid,hpdbuildings,corpnames,businessaddrs,ownernames,allcontacts,totalviolations,openviolations,totalcomplaints,recentcomplaints,recentcomplaintsbytype,unitsres,yearbuilt,council,lat,lng,evictions,rsunits2007,rsunitslatest,rsunitslatestyear,rsdiff,yearstartedj51,yearstarted421a,lastsaleacrisid,lastsaledate,lastsaleamount,evictionfilings
2295,GRAND CONCOURSE,10453,BRONX,200884,2024-08-26,2025-09-01,2031630021,2013768,81797,1,2295 GC LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2295 GC LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",503,81,1104,108,"PESTS (24), PAINT/PLASTER (13), HEAT/HOT WATER (13), MOLD (11), PLUMBING (10), DOOR/WINDOW (9), WATER LEAK (8), APPLIANCE (6), ELECTRIC (5), GARBAGE/RECYCLING STORAGE (2), FLOORING/STAIRS (2), BELL/BUZZER/INTERCOM (2), SAFETY (1), CABINET (1), OUTSIDE BUILDING (1)",31,1930,14,40.8573805,-73.9005083,5,31,31,2022,0,,,2022012700564001,2022-01-19,5500000,46
2380,CRESTON AVENUE,10468,BRONX,205275,2024-10-12,2025-09-01,2031650004,2013789,59212,1,2380 C LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"GIANCARLO FERREIRA (SiteManager), GIANCARLO FERREIRA (HeadOfficer), GIANCARLO FERREIRA (Agent)","GIANCARLO FERREIRA (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; GIANCARLO FERREIRA (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; GIANCARLO FERREIRA (SiteManager); 2380 C LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",670,75,288,108,"PLUMBING (27), PAINT/PLASTER (24), WATER LEAK (10), HEAT/HOT WATER (9), APPLIANCE (9), ELECTRIC (8), DOOR/WINDOW (5), CABINET (4), PESTS (4), FLOORING/STAIRS (3), MOLD (3), SAFETY (1), COOKING GAS (1)",20,1915,14,40.8598635,-73.899402,1,21,0,2022,-21,,,2021121700464001,2021-12-14,2750000,38
2390,CRESTON AVENUE,10468,BRONX,205811,2024-08-26,2025-09-01,2031650011,2013792,59218,1,2390 C LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2390 C LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",896,172,1144,234,"HEAT/HOT WATER (46), PLUMBING (38), PAINT/PLASTER (31), PESTS (30), DOOR/WINDOW (17), SAFETY (11), MOLD (10), APPLIANCE (9), WATER LEAK (9), GARBAGE/RECYCLING STORAGE (8), MAILBOX (5), COOKING GAS (4), FLOORING/STAIRS (4), BELL/BUZZER/INTERCOM (3), ELECTRIC (3), CABINET (2), SIGNAGE MISSING (2), OUTSIDE BUILDING (2)",20,1911,14,40.8602585,-73.89917,10,20,0,2022,-20,,,2021121501879002,2021-12-09,3800000,40
2584,CRESTON AVENUE,10468,BRONX,200576,2024-08-26,2025-09-01,2031680001,2013825,59241,1,GC 192 LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; GC 192 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",479,41,467,112,"PLUMBING (22), PAINT/PLASTER (20), PESTS (17), MOLD (10), CABINET (9), APPLIANCE (8), FLOORING/STAIRS (7), HEAT/HOT WATER (6), WATER LEAK (6), SAFETY (5), ELECTRIC (1), BELL/BUZZER/INTERCOM (1)",27,1917,14,40.864708,-73.8964771,4,26,26,2022,0,,,2021081301390006,2021-08-05,13400000,56
2593,GRAND CONCOURSE,10468,BRONX,208024,2024-08-26,2025-09-01,2031680061,2013835,81851,1,GC 192 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET 920 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET 920 NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; GC 192 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",472,43,197,53,"PAINT/PLASTER (14), MOLD (10), DOOR/WINDOW (6), WATER LEAK (4), PESTS (4), HEAT/HOT WATER (4), FLOORING/STAIRS (3), PLUMBING (3), APPLIANCE (3), BELL/BUZZER/INTERCOM (1), ELECTRIC (1)",21,1916,14,40.8647076,-73.8959998,1,21,22,2022,1,,,2021081301390006,2021-08-05,13400000,43
2585,GRAND CONCOURSE,10468,BRONX,208025,2024-08-26,2025-09-01,2031680064,2013836,81850,1,GC 192 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; GC 192 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",434,13,786,66,"HEAT/HOT WATER (14), ELECTRIC (8), PLUMBING (8), PAINT/PLASTER (7), APPLIANCE (6), WATER LEAK (6), FLOORING/STAIRS (6), MOLD (4), PESTS (3), SAFETY (2), DOOR/WINDOW (1), BELL/BUZZER/INTERCOM (1)",26,1916,14,40.8645595,-73.8961194,3,27,27,2022,0,,,2021081301390006,2021-08-05,13400000,45
2415,CRESTON AVENUE,10468,BRONX,203409,2024-08-26,2025-09-01,2031730048,2013913,59222,1,2415 C LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2415 C LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",331,24,687,15,"APPLIANCE (3), SAFETY (2), PAINT/PLASTER (1), VENTILATION SYSTEM (1), PESTS (1), COOKING GAS (1), HEAT/HOT WATER (1), SEWAGE (1), MOLD (1), FLOORING/STAIRS (1), DOOR/WINDOW (1), PLUMBING (1)",32,1920,14,40.8609175,-73.8994727,5,32,0,2022,-32,,,2022041200923001,2022-04-07,4400000,45
2609,AQUEDUCT AVENUE WEST,10468,BRONX,204070,2024-08-26,2025-09-01,2032150008,2092426,806249,2,2609-2610 LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2609-2610 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",647,72,1541,108,"PAINT/PLASTER (20), WATER LEAK (16), HEAT/HOT WATER (15), DOOR/WINDOW (12), PLUMBING (9), APPLIANCE (6), PESTS (6), MOLD (5), FLOORING/STAIRS (4), CABINET (3), SAFETY (3), COOKING GAS (3), BELL/BUZZER/INTERCOM (3), ELECTRIC (2), VENTILATION SYSTEM (1)",60,1931,14,40.8673059,-73.9012166,12,59,60,2022,1,,,2010083000621001,2010-08-24,3740000,125
2265,UNIVERSITY AVENUE,10468,BRONX,209144,2024-08-26,2025-09-01,2032180074,2014751,116925,1,"2265 UNIVERSITY AVENUE OWNERS, INC",49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2265 UNIVERSITY AVENUE OWNERS, INC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",837,51,831,186,"HEAT/HOT WATER (49), PAINT/PLASTER (33), MOLD (17), PESTS (16), DOOR/WINDOW (14), PLUMBING (14), WATER LEAK (10), SAFETY (9), FLOORING/STAIRS (7), BELL/BUZZER/INTERCOM (6), CABINET (3), GARBAGE/RECYCLING STORAGE (2), APPLIANCE (2), ELECTRIC (2), SEWAGE (1), OUTSIDE BUILDING (1)",42,1936,14,40.8602738,-73.9075788,4,7,0,2022,-7,,,,,,77
2432,WEBB AVENUE,10468,BRONX,200112,2024-08-26,2025-09-01,2032190086,2014759,120361,1,2432 WEBB LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2432 WEBB LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",435,31,595,210,"HEAT/HOT WATER (51), PESTS (24), PAINT/PLASTER (24), PLUMBING (23), APPLIANCE (20), COOKING GAS (14), FLOORING/STAIRS (13), MOLD (9), DOOR/WINDOW (9), WATER LEAK (7), ELECTRIC (5), CABINET (4), SAFETY (3), GARBAGE/RECYCLING STORAGE (2), BELL/BUZZER/INTERCOM (1), JANITOR/SUPER (1)",28,1922,14,40.8646368,-73.9062604,4,27,28,2022,1,,,2021082501052001,2021-08-16,3525000,46
147,WEST 230TH STREET,10463,BRONX,207751,2024-08-26,2025-09-01,2032600050,2015913,121348,1,147 W 230 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 147 W 230 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",83,24,220,61,"HEAT/HOT WATER (28), PESTS (10), WATER LEAK (5), GARBAGE/RECYCLING STORAGE (3), DOOR/WINDOW (3), PLUMBING (3), ELEVATOR (2), APPLIANCE (2), SAFETY (1), CABINET (1), COOKING GAS (1), FLOORING/STAIRS (1), PAINT/PLASTER (1)",71,1928,14,40.8761952,-73.9034996,3,70,71,2022,1,,,2021113000492001,2021-11-17,15000000,51
367,EAST 201ST STREET,10458,BRONX,200841,2024-08-26,2025-09-01,2032810057,2016462,67251,1,367 E 201 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 367 E 201 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",328,107,340,149,"PAINT/PLASTER (26), FLOORING/STAIRS (22), PLUMBING (21), PESTS (14), APPLIANCE (13), DOOR/WINDOW (12), MOLD (10), WATER LEAK (7), CABINET (7), HEAT/HOT WATER (6), SAFETY (6), ELECTRIC (3), COOKING GAS (1), SIGNAGE MISSING (1)",39,1928,11,40.8694564,-73.8822349,2,35,0,2022,-35,,,2022030400563001,2022-02-23,6200000,62
2976,MARION AVENUE,10458,BRONX,208285,2024-08-26,2025-09-01,2032850019,2016574,94458,1,2976 M LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2976 M LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",247,70,600,174,"PAINT/PLASTER (46), PESTS (22), MOLD (14), HEAT/HOT WATER (13), BELL/BUZZER/INTERCOM (13), DOOR/WINDOW (12), FLOORING/STAIRS (12), WATER LEAK (10), PLUMBING (9), APPLIANCE (8), CABINET (7), ELECTRIC (2), COOKING GAS (2), GARBAGE/RECYCLING STORAGE (1), OUTSIDE BUILDING (1), ELEVATOR (1), SAFETY (1)",62,1950,11,40.8692599,-73.8833235,7,62,63,2022,1,,,2021110201433001,2021-10-28,9750000,108
2961,MARION AVENUE,10458,BRONX,202505,2024-08-26,2025-09-01,2032920001,2016732,94453,1,2961-65 M LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2961-65 M LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",786,242,1783,617,"HEAT/HOT WATER (266), PAINT/PLASTER (72), PLUMBING (55), PESTS (43), MOLD (38), DOOR/WINDOW (29), WATER LEAK (22), ELECTRIC (22), APPLIANCE (19), FLOORING/STAIRS (15), BELL/BUZZER/INTERCOM (12), CABINET (11), SAFETY (6), GARBAGE/RECYCLING STORAGE (2), SIGNAGE MISSING (1), OUTSIDE BUILDING (1), VENTILATION SYSTEM (1), ELEVATOR (1), COOKING GAS (1)",79,1927,11,40.8692006,-73.8843722,7,78,0,2022,-78,,,2021110201271001,2021-10-28,12448000,96
45,EAST MOSHOLU PARKWAY NORTH,10467,BRONX,205963,2024-08-26,2025-09-01,2033260105,2017751,73806,1,45 E MOSHOLU LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 45 E MOSHOLU LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",198,42,444,339,"HEAT/HOT WATER (215), DOOR/WINDOW (18), LINE OF TRAVEL (17), PLUMBING (13), PAINT/PLASTER (12), MOLD (11), WATER LEAK (10), PESTS (10), ELECTRIC (10), BELL/BUZZER/INTERCOM (6), FLOORING/STAIRS (6), APPLIANCE (5), CABINET (2), SEWAGE (2), SAFETY (2)",72,1926,11,40.8794286,-73.8829296,,69,71,2022,2,,,2021101100299001,2021-10-06,12000000,83
344,EAST 209TH STREET,10467,BRONX,208093,2024-08-26,2025-09-01,2033510035,2018474,67517,1,344 E 209 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 344 E 209 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",380,95,472,198,"HEAT/HOT WATER (64), PESTS (29), PAINT/PLASTER (28), PLUMBING (21), DOOR/WINDOW (17), APPLIANCE (10), MOLD (9), SAFETY (6), ELECTRIC (5), WATER LEAK (5), FLOORING/STAIRS (4)",32,1920,11,40.8764247,-73.8739671,4,31,32,2022,1,,,2021082600209001,2021-08-16,3800000,56
1064,WARD AVENUE,10472,BRONX,204365,2024-10-12,2025-09-01,2037160032,2023532,119328,1,1064-1068 WARD LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1064-1068 WARD LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",1384,178,3392,470,"PAINT/PLASTER (104), PLUMBING (94), DOOR/WINDOW (60), FLOORING/STAIRS (43), WATER LEAK (40), PESTS (32), APPLIANCE (27), HEAT/HOT WATER (20), ELECTRIC (19), MOLD (12), CABINET (7), SAFETY (6), BELL/BUZZER/INTERCOM (3), OUTSIDE BUILDING (1), MAILBOX (1), GARBAGE/RECYCLING STORAGE (1)",54,1928,18,40.8260455,-73.8763823,6,54,54,2022,0,,,2021092900168001,2021-09-24,9400000,55
1124,STRATFORD AVENUE,10472,BRONX,207417,2024-08-26,2025-09-01,2037440053,2024019,111939,1,1124 S LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1124 S LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",661,62,646,149,"PAINT/PLASTER (28), FLOORING/STAIRS (23), PLUMBING (19), WATER LEAK (11), PESTS (11), DOOR/WINDOW (11), MOLD (11), HEAT/HOT WATER (10), CABINET (7), APPLIANCE (5), ELECTRIC (4), SAFETY (4), GARBAGE/RECYCLING STORAGE (2), BELL/BUZZER/INTERCOM (1), SEWAGE (1), OUTSIDE BUILDING (1)",39,1928,18,40.8273502,-73.8747755,2,39,39,2022,0,,,2021122900245004,2021-12-21,4450000,61
1467,TAYLOR AVENUE,10460,BRONX,206277,2024-08-26,2025-09-01,2038990040,2028221,112483,1,1467 T LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1467 T LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",138,19,136,49,"PLUMBING (8), PAINT/PLASTER (7), ELECTRIC (6), PESTS (5), WATER LEAK (5), DOOR/WINDOW (4), CABINET (3), SAFETY (3), BELL/BUZZER/INTERCOM (2), FLOORING/STAIRS (2), HEAT/HOT WATER (2), APPLIANCE (2)",30,1930,17,40.8370353,-73.866561,2,29,30,2022,1,,,2022012600776001,2022-01-20,3650000,40
1451,TAYLOR AVENUE,10460,BRONX,201209,2024-08-26,2025-09-01,2038990046,2028223,112479,1,1451 T LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1451 T LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",96,33,135,22,"PAINT/PLASTER (11), PESTS (3), MOLD (2), WATER LEAK (2), FLOORING/STAIRS (1), PLUMBING (1), JANITOR/SUPER (1), MAILBOX (1)",30,1930,17,40.8366263,-73.8664932,3,28,29,2022,1,,,2022012600655001,2022-01-20,3650000,47
2186,CRUGER AVENUE,10462,BRONX,215633,2024-08-02,2025-09-01,2043190015,2049405,60121,1,NEWGENT MANAGEMENT; 2186 CRUGER AVENUE APARTMENT CORP.,20 SOUTH BROADWAY MEZZAN 10701; 2186 CRUGER AVENUE 10462,"FAIZ AHMED (Agent), BROOKE LARIMER (HeadOfficer), FAIZ AHMED (Officer), FAIZ AHMED (SiteManager)","FAIZ AHMED (Agent), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; BROOKE LARIMER (HeadOfficer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (Officer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (SiteManager); 2186 CRUGER AVENUE APARTMENT CORP. (Corporation), 2186 CRUGER AVENUE BRONX, NY 10462; NEWGENT MANAGEMENT (Corporation), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701",300,133,545,209,"HEAT/HOT WATER (126), LINE OF TRAVEL (17), PLUMBING (13), DOOR/WINDOW (12), PAINT/PLASTER (8), PESTS (5), MOLD (5), BELL/BUZZER/INTERCOM (5), WATER LEAK (5), ELECTRIC (4), FLOORING/STAIRS (2), SAFETY (2), JANITOR/SUPER (2), SEWAGE (2), APPLIANCE (1)",73,1930,13,40.8557952,-73.8663643,2,8,7,2022,-1,,,,,,16
3215,OLINVILLE AVENUE,10467,BRONX,221407,2024-09-17,2025-09-01,2045940044,2056198,100350,1,OLINVILLE MANOR HOUSING DEV. FUND CORP; NEWGENT MANAGEMENT LLC.,3215 OLINVILLE AVENUE 10467; 20 SOUTH BROADWAY MEZZAN 10701,"FAIZ AHMED (Agent), FAIZ AHMED (Officer), FAIZ AHMED (SiteManager), SOL AGOSTO (HeadOfficer)","FAIZ AHMED (Agent), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; SOL AGOSTO (HeadOfficer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (Officer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (SiteManager); NEWGENT MANAGEMENT LLC. (Corporation), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; OLINVILLE MANOR HOUSING DEV. FUND CORP (Corporation), 3215 OLINVILLE AVENUE BRONX, NY 10467",15,8,55,21,"PLUMBING (6), ELECTRIC (6), HEAT/HOT WATER (4), SIGNAGE MISSING (1), WATER LEAK (1), DOOR/WINDOW (1), PAINT/PLASTER (1), APPLIANCE (1)",47,1963,12,40.8719613,-73.8685736,1,,,2022,,,,,,,2
741,EAST 217TH STREET,10467,BRONX,227271,2024-08-27,2025-09-01,2046650027,2057998,929088,1,741 E 217 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 741 E 217 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",21,8,24,12,"HEAT/HOT WATER (5), PAINT/PLASTER (2), APPLIANCE (2), ELECTRIC (1), PESTS (1), DOOR/WINDOW (1)",7,2005,12,40.8819004,-73.861994,1,0,0,2022,0,,,2021101100501001,2021-10-06,4000000,
745,EAST 217TH STREET,10467,BRONX,227269,2024-08-27,2025-09-01,2046650126,2128366,929090,1,741 E 217 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 741 E 217 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",41,23,24,12,"APPLIANCE (6), HEAT/HOT WATER (2), PESTS (2), WATER LEAK (2)",7,2005,12,40.881848,-73.8618241,1,0,0,2022,0,,2011,2021101100501001,2021-10-06,4000000,
743,EAST 217TH STREET,10467,BRONX,227270,2024-08-27,2025-09-01,2046650127,2128366,929089,1,741 E 217 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 741 E 217 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",3,0,8,4,"HEAT/HOT WATER (2), ELECTRIC (1), PLUMBING (1)",7,2005,12,40.8818728,-73.8619072,,,,2022,,,2011,2021101100501001,2021-10-06,4000000,
4303,BAYCHESTER AVENUE,10466,BRONX,221475,2024-08-27,2025-09-01,2050560071,2070408,48703,1,4303 BAY LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 4303 BAY LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",216,13,747,33,"HEAT/HOT WATER (13), PLUMBING (5), DOOR/WINDOW (4), APPLIANCE (4), WATER LEAK (2), MOLD (1), GARBAGE/RECYCLING STORAGE (1), SEWAGE (1), PAINT/PLASTER (1), JANITOR/SUPER (1)",23,1963,12,40.8968545,-73.8455158,4,23,23,2022,0,,,2022022500530001,2022-02-15,3150000,20
4755,WHITE PLAINS ROAD,10470,BRONX,208896,2024-08-26,2025-09-01,2051070010,2100095,807117,2,4755 WP LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 4755 WP LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",450,125,605,277,"HEAT/HOT WATER (77), PAINT/PLASTER (37), PLUMBING (33), WATER LEAK (25), DOOR/WINDOW (22), MOLD (19), PESTS (19), FLOORING/STAIRS (12), ELECTRIC (8), APPLIANCE (8), GARBAGE/RECYCLING STORAGE (7), BELL/BUZZER/INTERCOM (4), SAFETY (4), SEWAGE (1), JANITOR/SUPER (1)",84,1939,11,40.9049847,-73.8500297,1,82,0,2022,-82,,,2021111100609006,2021-11-09,14800000,96
